,timestamp,lat,lon,temp,co2,humidity,quantity
0,2020-11-17 13:29:19,36.1209661,139.2158691,23.64,466,39.47,1
1,2020-11-17 13:29:25,36.1209651,139.2158545,23.6,410,38.22,5
2,2020-11-17 13:29:30,36.1209654,139.2158435,23.7,418,38.41,1
3,2020-11-17 13:29:36,36.1209646,139.2158321,23.29,402,38.05,0
4,2020-11-17 13:29:41,36.1209644,139.2158208,22.91,400,38.11,1
5,2020-11-17 13:29:46,36.1209642,139.21581,22.69,412,38.7,0
6,2020-11-17 13:29:52,36.120964,139.2157987,22.41,414,39.07,0
7,2020-11-17 13:29:57,36.1209644,139.2157867,22.24,415,39.91,0
8,2020-11-17 13:30:02,36.1209644,139.2157759,22.16,417,40.94,1
9,2020-11-17 13:30:08,36.1209645,139.2157642,22.09,429,41.29,0
10,2020-11-17 13:30:13,36.1209647,139.2157534,22.13,455,42.18,0
11,2020-11-17 13:30:18,36.1209661,139.2157423,21.99,419,41.87,1
12,2020-11-17 13:30:23,36.1209671,139.2157339,21.93,408,41.63,0
13,2020-11-17 13:30:31,36.1209768,139.2157326,21.66,415,41.67,0
14,2020-11-17 13:30:37,36.1209866,139.2157314,21.51,411,41.27,1
15,2020-11-17 13:30:41,36.1209919,139.2157315,21.54,430,41.43,0
16,2020-11-17 13:30:48,36.1209927,139.2157405,21.57,440,42.03,3
17,2020-11-17 13:30:53,36.1209931,139.2157515,21.55,420,42.33,2
18,2020-11-17 13:30:58,36.1209935,139.2157632,21.47,410,42.0,1
19,2020-11-17 13:31:04,36.1209939,139.215774,21.43,402,41.78,2
20,2020-11-17 13:31:09,36.1209942,139.2157853,21.4,404,41.64,3
21,2020-11-17 13:31:14,36.1209942,139.2157958,21.41,417,41.6,1
22,2020-11-17 13:31:20,36.1209946,139.2158071,21.46,423,41.85,3
23,2020-11-17 13:31:26,36.1209941,139.2158188,21.57,433,42.24,1
24,2020-11-17 13:31:31,36.1209942,139.2158295,21.75,433,42.47,2
25,2020-11-17 13:31:36,36.1209935,139.2158404,22.03,429,42.37,1
26,2020-11-17 13:31:42,36.1209932,139.2158525,22.27,400,41.2,5
27,2020-11-17 13:31:47,36.1209927,139.2158634,22.49,420,40.64,2
28,2020-11-17 13:31:51,36.1209928,139.2158689,22.65,445,40.66,0
29,2020-11-17 13:32:00,36.1209813,139.2158705,22.62,404,40.05,1
30,2020-11-17 13:32:05,36.1209726,139.2158717,22.49,400,39.99,2
